Nama,Kategori,Harga,Terjual,Lama Barang
Kemeja Batik Gorontalo Premium,Kemeja,280000,48,25
Blus Tenun Karawo Merah,Blus,220000,15,85
Celana Karawo Hitam,Celana,195000,42,18
Bahan Kain Karawo Klasik,Bahan,180000,8,120
Kemeja Putih Formal,Kemeja,165000,38,45
Blus Casual Modern,Blus,145000,52,12
Celana Jeans Premium,Celana,310000,28,35
Bahan Sutra Import,Bahan,420000,5,150
Kemeja Batik Kombinasi,Kemeja,195000,44,22
Blus Tenun Tradisional,Blus,175000,18,75
Celana Chino Standar,Celana,185000,35,40
Bahan Katun Lokal,Bahan,95000,62,8
Kemeja Slim Fit,Kemeja,225000,31,50
Blus Etnik Modern,Blus,205000,12,95
Celana Kulot Trendy,Celana,155000,46,15
